Scrip Code,COMPANY,ISIN No.,Close Price
533155,Jubilant FoodWorks Ltd,INE797F01020,525.7
543271,Jubilant Ingrevia Limited,INE0BY001018,498.85
530019,Jubilant Pharmova Sciences Ltd,INE700A01033,560.75
533272,Jupiter Wagons Ltd,INE209L01016,353.95
535648,Just Dial Ltd,INE599M01018,871.65
532926,Jyothy Labs Ltd,INE668F01031,505.7
500233,Kajaria Ceramics Ltd.,INE217B01036,1398.95
522287,Kalpataru Projects International Ltd,INE220B01022,737.1
543278,Kalyan Jewellers India Ltd,INE303R01014,389.1
532468,Kama Holdings Ltd.,INE411F01010,2793.9
500165,Kansai Nerolac Paints Ltd.,INE531A01024,340.35
543664,Kaynes Technology India Ltd,INE918Z01012,2731.05
532714,KEC International Ltd/India,INE389H01022,609.95
517569,KEI Industries Ltd,INE878B01027,2987.2
540680,KIOCL Ltd,INE880L01014,370.8
532942,KNR Constructions Ltd,INE634I01029,261.8
500247,Kotak Mahindra Bank Ltd,INE237A01028,1832.8
542651,KPIT Technologies Ltd,INE04I401011,1549.15
532889,KPR Mill Ltd,INE930H01031,787.95
530813,KRBL Ltd,INE001B01026,380.2
543308,Krishna Institute of Medical Sciences Ltd,INE967H01017,2005.95
500249,KSB Ltd,INE999A01015,3488.1
533519,L&T Finance Holdings Ltd,INE498L01015,167.05
540115,L&T Technology Services Ltd,INE010V01017,5472.4
526947,La Opala Rg Ltd.,INE059D01020,362.5
500252,Lakshmi Machine Works Ltd,INE269B01029,13784.5
500510,Larsen & Toubro Ltd,INE018A01030,3565.95
543398,Latent View Analytics Ltd,INE0I7C01011,465.4
540222,Laurus Labs Ltd,INE947Q01028,416.2
543277,Laxmi Organic Industries Ltd,INE576O01020,282.05
541233,Lemon Tree Hotels Ltd,INE970X01018,133.65
500253,LIC Housing Finance Ltd,INE115A01026,573.4
543526,Life Insurance Corporation of India,INE0J1Y01017,829.35
523457,Linde India Ltd,INE473A01011,5543.75
512455,Lloyds Metals & Energy Ltd.,INE281B01032,581.4
540005,LTIMindtree Ltd,INE214T01019,6236.8
500257,Lupin Ltd,INE326A01037,1398.45
543287,Macrotech Developers Ltd,INE670K01029,1208.4
539957,Mahanagar Gas Ltd,INE002S01010,1264.7
500266,Maharashtra Scooters Ltd.,INE288A01013,7854.7
532720,Mahindra & Mahindra Financial Services Ltd,INE774D01024,279.9
500520,Mahindra & Mahindra Ltd,INE101A01026,1622.85
533088,Mahindra Holidays & Resorts India Ltd,INE998I01010,407.25
532313,Mahindra Lifespace Developers Ltd,INE813A01018,577.85
