SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
SHARIABEES,Shariah,501.35,502.91,498.82,496.79,499.73,2.94,0.59,427,0.02,495.15,520.00,380.00,3.2,18-Jan-2023,16.96,19-Dec-2023
ESG,NIFTY100 ESG SECTOR LEADERS,35.70,35.86,35.70,35.54,35.75,0.21,0.59,2,044,0.01,35.49,37.31,27.46,0.74,-,-,19-Dec-2023
BSLNIFTY,Nifty 50,25.15,25.15,24.41,24.41,24.55,0.14,0.57,50,518,0.12,24.39,25.75,18.65,0.04,18-Jan-2023,19.36,19-Dec-2023
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,239.00,240.26,238.60,237.26,238.60,1.34,0.56,2,123,0.05,237.44,278.00,197.00,-4.49,18-Jan-2023,9.04,19-Dec-2023
HDFCNIFTY,Nifty 50,236.99,237.15,235.51,234.98,236.30,1.32,0.56,8,321,0.20,234.58,245.40,176.01,0.06,-,-,19-Dec-2023
KOTAKBKETF,Nifty Bank,474.99,474.99,469.00,467.66,470.28,2.62,0.56,11,889,0.56,466.66,498.30,392.32,-4.53,18-Jan-2023,8.83,19-Dec-2023
AXISCETF,NIFTY India Consumption Index,96.76,97.57,96.76,96.72,97.25,0.53,0.55,375,-,96.49,102.35,70.96,2.24,18-Jan-2023,27.60,19-Dec-2023
KOTAKPSUBK,Nifty PSU Bank,594.89,594.90,587.00,586.17,589.42,3.25,0.55,4,030,0.24,584.48,596.59,350.00,2.16,18-Jan-2023,40.15,19-Dec-2023
DSPN50ETF,Nifty 50 Index,215.56,221.91,215.56,219.96,221.14,1.18,0.54,339,0.01,219.28,254.00,170.95,0.27,18-Jan-2023,19.54,19-Dec-2023
ABSLBANETF,Nifty Bank,46.88,46.88,46.13,46.20,46.45,0.25,0.54,12,703,0.06,46.09,49.95,38.70,-4.13,18-Jan-2023,8.50,19-Dec-2023
BANKIETF,Nifty Bank,46.87,46.87,46.37,46.23,46.48,0.25,0.54,56,544,0.26,46.14,50.92,45.99,-,-,-,-
SETFNIF50,Nifty 50,225.21,226.45,225.21,224.45,225.61,1.16,0.52,87,742,1.98,224.10,232.45,174.41,0.26,18-Jan-2023,19.50,19-Dec-2023
